date/time	script	user	action	table	field	key value	old value	new value
2019/04/08 10:55:32	/bank.deductions/deductionsedit.php	Administrator	U	deductions	Acc_ID	3	2	8705
2019/04/08 10:55:54	/bank.deductions/deductionsedit.php	Administrator	U	deductions	Acc_ID	1	0	9141
2019/04/08 11:29:44	/bank.deductions/deductionsedit.php	Administrator	U	deductions	Acc_ID	2	2	8705
2019/04/08 11:40:24	/bank.deductions/deductionsedit.php	Administrator	U	deductions	Batch	2	0	6
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	PF	7		5233
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	L_Ref	7		[MEMO]
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	YEAR	7		2019
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	MONTH	7		4
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	Acc_ID	7		5233
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	AMOUNT	7		52000
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	STARTED	7		2019-04-08
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	ENDED	7		
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	TYPE	7		2
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	Batch	7		4
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	NOTES	7		
2019/04/08 12:19:57	/bank.deductions/deductionsadd.php	Administrator	A	deductions	Deduction_ID	7		7
